idempresa;anio;mes;idpozo;prod_pet;prod_gas;prod_agua;tef;tipoextraccion;tipoestado;tipopozo;idusuario;empresa;sigla;formprod;profundidad;formacion;idareapermisoconcesion;areapermisoconcesion;idareayacimiento;areayacimiento;cuenca;provincia;coordenadax;coordenaday;tipo_de_recurso;clasificacion;subclasificacion;sub_tipo_recurso
YPF;2024;3;75605;0;0;0;0;Plunger Lift;En Estudio;Petrolifero;334;YPF S.A.;YPF.Nq.RN.xp-58;QTUC;5334;quintuco;RGO;RIO Neuquen;RNQ;RIO Neuquen;Neuquina;Neuquen;-68.2089123233049;-38.7158312799252;NO CONVENCIONAL;EXPLORACION;EXPLORATORIO PROFUNDO;TIGHT
YPF;2024;3;75604;0;0;0;0;Plunger Lift;Parado Transitoriamente;Petrolifero;334;YPF S.A.;YPF.Nq.RN.xp-58;PROS;5334;punta rosada;RGO;RIO Neuquen;RNQ;RIO Neuquen;Neuquina;Neuquen;-68.2089123233049;-38.7158312799252;NO CONVENCIONAL;EXPLORACION;EXPLORATORIO PROFUNDO;TIGHT
YPF;2024;3;72233;10.65;208.12;0;31;Surgencia Natural;Extraccion Efectiva;Gasifero;334;YPF S.A.;PC.Nq.RN-1040;PROS;3506;punta rosada;RGO;RIO Neuquen;RNQ;RIO Neuquen;Neuquina;Neuquen;-68.2303382308669;-38.7174516023527;NO CONVENCIONAL;EXPLOTACION;DESARROLLO;TIGHT
YPF;2024;3;72232;9.84;427.42;43.26;31;Surgencia Natural;Extraccion Efectiva;Gasifero;334;YPF S.A.;PC.Nq.RN-1039;PROS;3609;punta rosada;RGO;RIO Neuquen;RNQ;RIO Neuquen;Neuquina;Neuquen;-68.2679327183551;-38.7098434415947;NO CONVENCIONAL;EXPLOTACION;DESARROLLO;TIGHT
YPF;2024;3;72228;1.98;46.16;5.05;30;Surgencia Natural;Extraccion Efectiva;Gasifero;334;YPF S.A.;PC.Nq.RN-1035;PROS;4230;punta rosada;RGO;RIO Neuquen;RNQ;RIO Neuquen;Neuquina;Neuquen;-68.2485329369101;-38.7079397514219;NO CONVENCIONAL;EXPLOTACION;DESARROLLO;TIGHT
YPF;2024;3;72206;0;0;0;0;Surgencia Natural;En Espera de Reparacion;Otro tipo;334;YPF S.A.;PC.Nq.RN.xp-1007;PROS;3904;punta rosada;RGO;RIO Neuquen;RNQ;RIO Neuquen;Neuquina;Neuquen;-68.2537605670987;-38.713551815942;NO CONVENCIONAL;EXPLORACION;EXPLORATORIO PROFUNDO;TIGHT
YPF;2024;3;165188;198.38;21.46;649.96;8;Surgencia Natural;Extraccion Efectiva;Petrolifero;334;YPF S.A.;YPF.Nq.SOil-427(h);VMUT;5525;vaca muerta;LCAM;LOMA CAMPANA;LCAM;LOMA CAMPANA;Neuquina;Neuquen;-68.60735856;-38.34787471;NO CONVENCIONAL;EXPLOTACION;DESARROLLO;SHALE
YPF;2024;3;165187;409.14;43.39;665.03;8;Surgencia Natural;Extraccion Efectiva;Petrolifero;334;YPF S.A.;YPF.Nq.SOil-426(h);VMUT;5837;vaca muerta;LCAM;LOMA CAMPANA;LCAM;LOMA CAMPANA;Neuquina;Neuquen;-68.60746242;-38.34787515;NO CONVENCIONAL;EXPLOTACION;DESARROLLO;SHALE
YPF;2024;3;165186;144.94;13.49;673.74;8;Surgencia Natural;Extraccion Efectiva;Petrolifero;334;YPF S.A.;YPF.Nq.SOil-425(h);VMUT;5534;vaca muerta;LCAM;LOMA CAMPANA;LCAM;LOMA CAMPANA;Neuquina;Neuquen;-68.60756515;-38.3478754;NO CONVENCIONAL;EXPLOTACION;DESARROLLO;SHALE
YPF;2024;3;165185;284.7;28.78;524.97;8;Surgencia Natural;Extraccion Efectiva;Petrolifero;334;YPF S.A.;YPF.Nq.SOil-424(h);VMUT;5566;vaca muerta;LCAM;LOMA CAMPANA;LCAM;LOMA CAMPANA;Neuquina;Neuquen;-68.60766833;-38.34787584;NO CONVENCIONAL;EXPLOTACION;DESARROLLO;SHALE
